"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should successfully login with valid credentials","chromium","Mon Nov 24 11:58:27 UTC 2025","skipped","Mon Nov 24 11:58:27 UTC 2025","Example Test Suite","","",""
"","227","should perform GET request","chromium","Mon Nov 24 11:58:26 UTC 2025","passed","Mon Nov 24 11:58:27 UTC 2025","API Tests","","",""
"","7","should navigate and interact with elements","chromium","Mon Nov 24 11:58:27 UTC 2025","failed","Mon Nov 24 11:58:27 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","3","should have correct page title","chromium","Mon Nov 24 11:58:27 UTC 2025","skipped","Mon Nov 24 11:58:27 UTC 2025","Example Test Suite","","",""
"","196","should validate response schema","chromium","Mon Nov 24 11:58:26 UTC 2025","passed","Mon Nov 24 11:58:27 UTC 2025","API Tests","","",""
"","119","should perform POST request","chromium","Mon Nov 24 11:58:26 UTC 2025","passed","Mon Nov 24 11:58:27 UTC 2025","API Tests","","",""
"","1","should navigate to login page","chromium","Mon Nov 24 11:58:27 UTC 2025","skipped","Mon Nov 24 11:58:27 UTC 2025","Example Test Suite","","",""
"","8","should take a screenshot","chromium","Mon Nov 24 11:58:27 UTC 2025","failed","Mon Nov 24 11:58:27 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","1","should display error on invalid login","chromium","Mon Nov 24 11:58:27 UTC 2025","skipped","Mon Nov 24 11:58:27 UTC 2025","Example Test Suite","","",""
"","6","should open example website and check title","chromium","Mon Nov 24 11:58:27 UTC 2025","failed","Mon Nov 24 11:58:27 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
