"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1250","should take a screenshot","chromium","Mon Nov 24 12:11:56 UTC 2025","passed","Mon Nov 24 12:11:57 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","1390","should navigate and interact with elements","chromium","Mon Nov 24 12:11:56 UTC 2025","passed","Mon Nov 24 12:11:57 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","1","should have correct page title","chromium","Mon Nov 24 12:11:59 UTC 2025","skipped","Mon Nov 24 12:11:59 UTC 2025","Example Test Suite","","",""
"","1","should navigate to login page","chromium","Mon Nov 24 12:11:59 UTC 2025","skipped","Mon Nov 24 12:11:59 UTC 2025","Example Test Suite","","",""
"","0","should successfully login with valid credentials","chromium","Mon Nov 24 12:11:59 UTC 2025","skipped","Mon Nov 24 12:11:59 UTC 2025","Example Test Suite","","",""
"","967","should open example website and check title","chromium","Mon Nov 24 12:11:56 UTC 2025","passed","Mon Nov 24 12:11:57 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","248","should perform POST request","chromium","Mon Nov 24 12:11:56 UTC 2025","passed","Mon Nov 24 12:11:56 UTC 2025","API Tests","","",""
"","186","should perform GET request","chromium","Mon Nov 24 12:11:56 UTC 2025","passed","Mon Nov 24 12:11:56 UTC 2025","API Tests","","",""
"","175","should validate response schema","chromium","Mon Nov 24 12:11:56 UTC 2025","passed","Mon Nov 24 12:11:56 UTC 2025","API Tests","","",""
"","1","should display error on invalid login","chromium","Mon Nov 24 12:11:59 UTC 2025","skipped","Mon Nov 24 12:11:59 UTC 2025","Example Test Suite","","",""
