"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","219","should perform POST request","chromium","Mon Nov 24 12:47:12 UTC 2025","passed","Mon Nov 24 12:47:13 UTC 2025","API Tests","","",""
"","1","should successfully login with valid credentials","chromium","Mon Nov 24 12:47:14 UTC 2025","skipped","Mon Nov 24 12:47:14 UTC 2025","Example Test Suite","","",""
"","0","should navigate to login page","chromium","Mon Nov 24 12:47:14 UTC 2025","skipped","Mon Nov 24 12:47:14 UTC 2025","Example Test Suite","","",""
"","1","should have correct page title","chromium","Mon Nov 24 12:47:14 UTC 2025","skipped","Mon Nov 24 12:47:14 UTC 2025","Example Test Suite","","",""
"","1","should display error on invalid login","chromium","Mon Nov 24 12:47:14 UTC 2025","skipped","Mon Nov 24 12:47:14 UTC 2025","Example Test Suite","","",""
"","899","should filter todos by status","chromium","Mon Nov 24 12:47:14 UTC 2025","passed","Mon Nov 24 12:47:15 UTC 2025","TodoMVC Demo - Basic CRUD Operations","","",""
"","123","should perform GET request","chromium","Mon Nov 24 12:47:12 UTC 2025","passed","Mon Nov 24 12:47:12 UTC 2025","API Tests","","",""
"","818","should add new todo items","chromium","Mon Nov 24 12:47:12 UTC 2025","passed","Mon Nov 24 12:47:13 UTC 2025","TodoMVC Demo - Basic CRUD Operations","","",""
"","917","should mark todo as completed","chromium","Mon Nov 24 12:47:13 UTC 2025","passed","Mon Nov 24 12:47:13 UTC 2025","TodoMVC Demo - Basic CRUD Operations","","",""
"","638","should display empty todo list on initial load","chromium","Mon Nov 24 12:47:12 UTC 2025","passed","Mon Nov 24 12:47:13 UTC 2025","TodoMVC Demo - Basic CRUD Operations","","",""
"","138","should validate response schema","chromium","Mon Nov 24 12:47:12 UTC 2025","passed","Mon Nov 24 12:47:12 UTC 2025","API Tests","","",""
"","579","should delete todo item","chromium","Mon Nov 24 12:47:14 UTC 2025","passed","Mon Nov 24 12:47:14 UTC 2025","TodoMVC Demo - Basic CRUD Operations","","",""
