"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","186","should validate response schema","chromium","Mon Nov 24 12:03:51 UTC 2025","passed","Mon Nov 24 12:03:51 UTC 2025","API Tests","","",""
"","1160","should take a screenshot","chromium","Mon Nov 24 12:03:51 UTC 2025","passed","Mon Nov 24 12:03:52 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","0","should successfully login with valid credentials","chromium","Mon Nov 24 12:03:53 UTC 2025","skipped","Mon Nov 24 12:03:53 UTC 2025","Example Test Suite","","",""
"","1","should navigate to login page","chromium","Mon Nov 24 12:03:53 UTC 2025","skipped","Mon Nov 24 12:03:53 UTC 2025","Example Test Suite","","",""
"","1","should have correct page title","chromium","Mon Nov 24 12:03:53 UTC 2025","skipped","Mon Nov 24 12:03:53 UTC 2025","Example Test Suite","","",""
"","1348","should navigate and interact with elements","chromium","Mon Nov 24 12:03:51 UTC 2025","passed","Mon Nov 24 12:03:52 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","1","should display error on invalid login","chromium","Mon Nov 24 12:03:53 UTC 2025","skipped","Mon Nov 24 12:03:53 UTC 2025","Example Test Suite","","",""
"","126","should perform GET request","chromium","Mon Nov 24 12:03:51 UTC 2025","passed","Mon Nov 24 12:03:51 UTC 2025","API Tests","","",""
"","997","should open example website and check title","chromium","Mon Nov 24 12:03:51 UTC 2025","passed","Mon Nov 24 12:03:52 UTC 2025","Demo Tests - Playwright Basic Functionality","","",""
"","132","should perform POST request","chromium","Mon Nov 24 12:03:51 UTC 2025","passed","Mon Nov 24 12:03:51 UTC 2025","API Tests","","",""
